station_id,terminal_id,X_lon,Y_lat,address,postcode,place,area,started,docks,hires,duration
332,1210,-0.194757,51.493343,4 Nevern Pl,SW5 9RH,Nevern Place,Earl's Court,20120104,20,38845,1591
333,2633,-0.193764,51.508605,108 B405,W8  4DY,Palace Gardens Terrace,Notting Hill,20120104,37,67481,1355
334,2635,-0.115851,51.505044,153 Concert Hall Approach,SE1 8XU,Concert Hall Approach 1,South Bank,20120104,10,55519,1556
335,1207,-0.120718,51.511968,33 Wellington St,WC2E7DT,Tavistock Street,Covent Garden,20120104,33,101208,1246
336,1212,-0.115533,51.504942,153 Concert Hall Approach,SE1 8YL,Concert Hall Approach 2,South Bank,20120104,18,50954,1442
337,2589,-0.197524,51.511084,59 Pembridge Rd,W11 3ES,Pembridge Villas,Notting Hill,20120104,16,41756,1759
338,1202,-0.119643,51.511756,21 Wellington St,WC2B4BZ,Wellington Street,Strand,20120104,15,108878,1177
339,1127,-0.111781,51.533319,1 Risinghill St,N1  9UL,Risinghill Street,Angel,20120104,25,40426,1131
340,1201,-0.087587,51.514441,1 Bartholomew Ln,EC2N2AX,Bank of England Museum,Bank,20120104,16,102023,921
341,1160,-0.126021,51.508103,42 Craven St,WC2N5RJ,Craven Street,Strand,20120104,23,171645,1370
343,1188,-0.150181,51.536922,9 Prince Albert Rd,NW1 7SR,London Zoo Car Park,Regent's Park,20120104,36,57742,1752
344,1222,-0.101026,51.528246,189 Goswell Rd,EC1V7EB,Goswell Road (City Uni),Finsbury,20120104,17,49173,881
345,1218,-0.166878,51.488023,17 Flood St,SW3 5SP,Flood Street,Chelsea,20120104,33,77559,1377
347,1219,-0.113936,51.500139,1 Lower Marsh,SE1 7NT,Lower Marsh,Waterloo,20120104,17,60906,1105
348,10627,-0.150481,51.51217,7 Grosvenor Square,W1K 4AG,Grosvenor Square,Mayfair,20120104,17,54389,1415
349,1221,-0.142783,51.51196,Levlla House,W1S 2FN,St. George Street,Mayfair,20120104,18,46841,1316
350,1231,-0.179854,51.501715,S Carriage Dr,SW7 2ET,Queen's Gate,Kensington Gardens,20120104,21,111157,2185
351,1226,-0.097122,51.529423,1 Macclesfield Rd,EC1V8AE,Macclesfield Rd,St. Luke's,20120104,28,52882,1011
352,1224,-0.116625,51.486965,145-147 Vauxhall St,SE115RG,Vauxhall Street,Vauxhall,20120104,19,20637,1175
353,10623,-0.134234,51.494591,2 Elverton St,SW1P2PB,Greycoat Street,Westminster,20120104,17,28375,1095
354,1097,-0.123702,51.506767,10 Northumberland Ave,WC2N5DE,Northumberland Avenue,Strand,20120104,37,74705,1850
355,2694,-0.117286,51.486575,17-19 Oval Way,SE115RQ,Oval Way,Vauxhall,20120104,21,15091,1198
356,2685,-0.173881,51.494412,32 Thurloe St,SW7 2LT,South Kensington Station,South Kensington,20120104,15,141633,1403
